Donna,......那个？,,,,,,it hurt! Some fast one has hit me.
Donna,这是......？ 不知何故，有点熟悉的风景,,,,,,
Donna,这栋楼......呃......当然......,,,,,,
？？？,啊啊啊啊啊！ 这很危险！,,,,,,
Donna,比如...！？,,,,,,
Donna,......！！,,,,,,
Donna,（它受伤了！ 一些快速的打击了我）,,,,,,
？？？,姐姐！ 你没事吧？ 对不起！ 因为Thau没有向前看...！,,,,,,
Donna,（Thau？那个女孩？）,,,,,,
Donna,好的 因为我只是摔了一下。,,,,,,
女声,Thau!我听到了一声可怕的声音，但是没关系吗？,,,,,,
Thau,哦！阿姨！ 它变得有点难！,,,,,,
Thau,哦！ 但没关系！ ......看起来像？,,,,,,
女声,是这样吗？ 一旦有话要说！,,,,,,
Thau,嘿！,,,,,,
Thau,姐姐很抱歉......你确定吗？ 如果我受伤了，我可以看到我的阿姨......,,,,,,
Donna,是的，没关系。 谢谢,,,,,,
Thau,很好！ 这就是为什么我的姐姐看起来并不多见，但你是从哪里来的？,,,,,,
Donna,呃......,,,,,,
Thau,哦！ 我明白了！ 你来自Tephe！ 酒店的姐姐说Tephe有很多漂亮的人！,,,,,,
Donna,比如！？ 呃......,,,,,,
Thau,哇！ 但它真的很美！ Thau不知道，因为我从来没有离村太远！,,,,,,
Thau,好吧！ 好吧！ 我姐姐来这里说“旅游”！？,,,,,,
Donna,好吧，哦......那是对的......我想......？,,,,,,
Thau,哇！ 正如预期的那样！ 然后Thau会引导我去姐姐村！ 虽然Thau看起来像这样，但它是一位乡村高手！,,,,,,
Donna,哈哈......我很高兴。 谢谢,,,,,,
Thau,她姐姐的名字是什么？,,,,,,
Donna,我是......,,,,,,
Thau,？,,,,,,
Donna,......！Donna!它的Donna，我叫Donna,,,,,,
Thau,Donna？ 可爱的名字！ 很高兴见到你！ 那么，由于Tau有问题，首先去商店看一家米店！,,,,,,
Donna,我明白了,,,,,,
Thau,哦！ 但毕竟，首先来自河的Mugi！,,,,,,
Donna,Mugi？,,,,,,
Thau,原来如此！ 这是一只总是在河边的流浪狗！ 因为它是小麦色Mugi！,,,,,,
Donna,没错。 期待它！ 那么我会决定让他去问候,,,,,,
Thau,好吧！ 好吧，我们走吧！,,,,,,
Donna,（我仍然有点担心，因为我没有记忆，但如果我走了一会儿，我会再次知道 - Thau不是一个坏女孩，所以我应该稍后再试）,,,,,,
